No,日時,操作,アイテム,数量,操作者,同盟ポイント
1,"2025/01/04 05:53:45","預ける","あんパン",2,"レオハウ",750
2,"2025/01/04 07:33:42","取り出す","黒糖",100,"エルド",-2000
3,"2025/01/04 07:38:14","取り出す","小麦粉",100,"エルド",-1000
4,"2025/01/04 07:41:55","預ける","あんパン",1000,"くまくん",375000
5,"2025/01/04 07:42:13","取り出す","大豆",300,"くまくん",-45000
6,"2025/01/04 07:43:55","預ける","タマネギ",200,"iamy",3000
7,"2025/01/04 07:44:02","取り出す","小麦",300,"iamy",-300
8,"2025/01/04 07:44:21","預ける","ラズベリー",100,"iamy",42000
9,"2025/01/04 07:45:06","取り出す","大豆",500,"iamy",-75000
10,"2025/01/04 09:19:20","取り出す","カカオ豆",100,"ざうるす",-32000
11,"2025/01/04 09:19:30","取り出す","大豆",100,"ざうるす",-15000
12,"2025/01/04 09:19:41","取り出す","クリーム",100,"ざうるす",-2400
13,"2025/01/04 09:20:26","取り出す","小麦粉",50,"ざうるす",-500
14,"2025/01/04 09:53:32","取り出す","小麦粉",100,"iamy",-1000
15,"2025/01/04 13:24:36","取り出す","小麦",300,"iamy",-300
16,"2025/01/04 13:24:44","預ける","タマネギ",200,"iamy",3000
17,"2025/01/04 13:24:55","取り出す","キャベツ",200,"iamy",-600
18,"2025/01/04 13:25:11","取り出す","ピンクシュガー",268,"iamy",-10720
19,"2025/01/04 13:25:19","取り出す","バニラアイス",3,"iamy",-462
20,"2025/01/04 16:41:12","取り出す","角砂糖",200,"くまくん",-15000
21,"2025/01/04 18:14:48","預ける","あんパン",1200,"シンリ",450000
22,"2025/01/04 18:15:05","預ける","チョコアイス",170,"シンリ",140930
23,"2025/01/04 18:15:28","預ける","ベーコン",900,"シンリ",72000
24,"2025/01/04 18:28:32","預ける","ニンジン",80,"iamy",28800
25,"2025/01/04 18:28:51","預ける","ジャガイモ",100,"iamy",9000
26,"2025/01/04 18:28:59","預ける","タマネギ",400,"iamy",6000
27,"2025/01/04 18:37:13","取り出す","黒糖",100,"iamy",-2000
28,"2025/01/04 18:37:20","取り出す","小麦粉",50,"iamy",-500
29,"2025/01/04 19:59:46","預ける","ラズベリー",600,"エルマス",252000
30,"2025/01/04 19:59:53","預ける","サツマイモ",900,"エルマス",216000
31,"2025/01/04 20:00:01","預ける","ニンジン",400,"エルマス",144000
32,"2025/01/04 20:00:44","取り出す","大豆",500,"エルマス",-75000
33,"2025/01/04 20:40:22","取り出す","カカオ豆",300,"iamy",-96000
34,"2025/01/04 20:40:31","預ける","タマネギ",150,"iamy",2250
35,"2025/01/04 20:40:43","預ける","ラズベリー",70,"iamy",29400
36,"2025/01/04 20:40:52","取り出す","大豆",300,"iamy",-45000
37,"2025/01/04 21:11:43","預ける","トマト",100,"ちひ",12000
38,"2025/01/04 21:11:51","取り出す","小麦",300,"ちひ",-300
39,"2025/01/04 21:12:06","預ける","ジャガイモ",150,"ちひ",13500
40,"2025/01/04 21:12:25","預ける","あんパン",50,"ちひ",18750
41,"2025/01/04 21:12:31","預ける","チョコアイス",50,"ちひ",41450
42,"2025/01/04 21:22:23","預ける","黒糖",250,"エルド",5000
43,"2025/01/04 21:22:32","預ける","小麦粉",250,"エルド",2500
44,"2025/01/04 21:22:40","預ける","角砂糖",150,"エルド",11250
45,"2025/01/04 21:22:57","取り出す","角砂糖",100,"エルド",-7500
46,"2025/01/04 21:23:59","取り出す","大豆",500,"エルド",-75000
47,"2025/01/04 21:31:21","取り出す","カカオ豆",20,"くまくん",-6400
48,"2025/01/04 21:31:37","取り出す","大豆",500,"くまくん",-75000
49,"2025/01/04 21:48:02","取り出す","小麦粉",100,"iamy",-1000
50,"2025/01/04 21:48:10","取り出す","ミルク",300,"iamy",-1200
51,"2025/01/04 21:48:20","取り出す","ヨーグルト",50,"iamy",-3100
52,"2025/01/04 21:51:23","取り出す","角砂糖",200,"iamy",-15000
53,"2025/01/04 21:52:59","預ける","トマト",300,"ちひ",36000
54,"2025/01/04 21:57:22","取り出す","テンサイ",300,"ikanshi",-3000
55,"2025/01/04 21:57:49","取り出す","ばいせん茶葉",30,"ikanshi",-3600
56,"2025/01/04 21:58:02","取り出す","キャラメルラテ",5,"ikanshi",-3095
57,"2025/01/04 21:59:01","取り出す","茶葉",100,"ikanshi",-3000
58,"2025/01/04 22:26:52","取り出す","大豆",300,"シンリ",-45000
59,"2025/01/04 23:03:20","預ける","ベーコン",100,"エルド",8000
60,"2025/01/04 23:03:31","預ける","クリーム",250,"エルド",6000
61,"2025/01/04 23:03:45","預ける","あんパン",700,"エルド",262500
62,"2025/01/04 23:03:53","預ける","チョコアイス",100,"エルド",82900
63,"2025/01/04 23:37:12","取り出す","カカオ豆",280,"ikanshi",-89600
64,"2025/01/04 23:48:25","預ける","あんパン",400,"ざうるす",150000
65,"2025/01/04 23:48:37","預ける","ベーコン",200,"ざうるす",16000
66,"2025/01/04 23:48:56","預ける","チョコアイス",300,"ざうるす",248700
