No,日時,操作,アイテム,数量,操作者,同盟ポイント
1,"2025/01/02 00:13:34","取り出す","カカオ豆",100,"ざうるす",-32000
2,"2025/01/02 00:13:48","取り出す","小麦粉",100,"ざうるす",-1000
3,"2025/01/02 00:19:11","預ける","ベーコン",50,"ちひ",4000
4,"2025/01/02 00:24:26","取り出す","大豆",800,"エルマス",-120000
5,"2025/01/02 01:54:35","取り出す","クリーム",100,"ざうるす",-2400
6,"2025/01/02 02:13:28","預ける","サツマイモ",1200,"エルマス",288000
7,"2025/01/02 02:13:39","預ける","ラズベリー",300,"エルマス",126000
8,"2025/01/02 09:01:16","取り出す","黒糖",500,"くまくん",-10000
9,"2025/01/02 09:31:42","取り出す","大豆",500,"iamy",-75000
10,"2025/01/02 09:31:49","取り出す","テンサイ",300,"iamy",-3000
11,"2025/01/02 09:31:59","預ける","トマト",100,"iamy",12000
12,"2025/01/02 09:32:12","預ける","ラズベリー",80,"iamy",33600
13,"2025/01/02 09:32:27","取り出す","小麦粉",100,"iamy",-1000
14,"2025/01/02 09:32:33","取り出す","黒糖",200,"iamy",-4000
15,"2025/01/02 09:32:42","取り出す","クリーム",100,"iamy",-2400
16,"2025/01/02 10:03:04","預ける","あんパン",500,"ちちち",187500
17,"2025/01/02 10:03:13","預ける","チョコアイス",100,"ちちち",82900
18,"2025/01/02 10:30:49","預ける","タマネギ",200,"iamy",3000
19,"2025/01/02 10:31:06","取り出す","小麦",300,"iamy",-300
20,"2025/01/02 10:31:26","取り出す","角砂糖",200,"iamy",-15000
21,"2025/01/02 10:31:37","取り出す","ピンクシュガー",110,"iamy",-4400
22,"2025/01/02 10:32:01","預ける","ベーコン",100,"iamy",8000
23,"2025/01/02 10:32:15","預ける","あんパン",800,"iamy",300000
24,"2025/01/02 10:32:25","預ける","チョコアイス",400,"iamy",331600
25,"2025/01/02 11:44:21","預ける","茶葉",300,"エルマス",9000
26,"2025/01/02 11:44:34","預ける","チーズ",200,"くまくん",2400
27,"2025/01/02 11:44:35","取り出す","小麦",2000,"エルマス",-2000
28,"2025/01/02 11:44:41","預ける","米粉",200,"くまくん",5000
29,"2025/01/02 11:44:47","取り出す","黒糖",300,"エルマス",-6000
30,"2025/01/02 11:44:57","取り出す","クリーム",600,"エルマス",-14400
31,"2025/01/02 11:44:57","預ける","バター",100,"くまくん",4300
32,"2025/01/02 11:45:07","預ける","フライドポテト",30,"くまくん",9900
33,"2025/01/02 11:45:19","預ける","ばいせん茶葉",20,"くまくん",2400
34,"2025/01/02 11:45:23","取り出す","エッグタルト",300,"エルマス",-484800
35,"2025/01/02 11:45:41","預ける","シロップ",100,"くまくん",14000
36,"2025/01/02 11:45:55","預ける","ブルードリンク",50,"くまくん",91500
