No,日時,操作,アイテム,数量,操作者,同盟ポイント
1,"2025/01/05 00:30:40","取り出す","角砂糖",250,"ikanshi",-18750
2,"2025/01/05 01:40:55","取り出す","大豆",800,"マオマオ",-120000
3,"2025/01/05 01:54:57","取り出す","ミルク",200,"ちひ",-800
4,"2025/01/05 04:43:49","預ける","あんパン",9,"レオハウ",3375
5,"2025/01/05 04:43:53","預ける","チョコアイス",2,"レオハウ",1658
6,"2025/01/05 04:44:02","預ける","ベーコン",29,"レオハウ",2320
7,"2025/01/05 06:49:43","取り出す","黒糖",100,"エルド",-2000
8,"2025/01/05 06:51:28","取り出す","小麦粉",100,"エルド",-1000
9,"2025/01/05 07:45:53","取り出す","小麦粉",100,"iamy",-1000
10,"2025/01/05 07:45:58","取り出す","黒糖",100,"iamy",-2000
11,"2025/01/05 07:46:30","取り出す","クリーム",50,"iamy",-1200
12,"2025/01/05 07:47:12","取り出す","カカオ豆",200,"iamy",-64000
13,"2025/01/05 07:47:29","預ける","トマト",50,"iamy",6000
14,"2025/01/05 07:47:35","預ける","タマネギ",150,"iamy",2250
15,"2025/01/05 07:47:56","預ける","ラズベリー",80,"iamy",33600
16,"2025/01/05 11:38:49","取り出す","角砂糖",100,"ちちち",-7500
17,"2025/01/05 11:38:55","取り出す","黒糖",100,"ちちち",-2000
18,"2025/01/05 11:41:35","預ける","トマト",70,"iamy",8400
19,"2025/01/05 12:02:19","取り出す","黒糖",100,"ちちち",-2000
20,"2025/01/05 12:03:29","預ける","あんパン",450,"ちちち",168750
21,"2025/01/05 12:03:45","預ける","チョコアイス",130,"ちちち",107770
22,"2025/01/05 12:32:45","預ける","あんパン",12,"あいちゃん",4500
23,"2025/01/05 12:33:27","預ける","チョコアイス",68,"あいちゃん",56372
24,"2025/01/05 12:33:45","預ける","ベーコン",109,"あいちゃん",8720
25,"2025/01/05 14:33:11","取り出す","大豆",1,"ちちち",-150
26,"2025/01/05 14:33:19","取り出す","大豆",99,"ちちち",-14850
27,"2025/01/05 14:33:31","預ける","洋ナシ",100,"ちちち",20000
28,"2025/01/05 14:49:13","取り出す","大豆",100,"ちちち",-15000
29,"2025/01/05 14:50:31","取り出す","小麦粉",50,"ちちち",-500
30,"2025/01/05 15:38:07","取り出す","小麦粉",100,"エルマス",-1000
31,"2025/01/05 15:40:25","預ける","トマト",200,"ちひ",24000
32,"2025/01/05 15:40:43","取り出す","コメ",200,"ちひ",-1000
33,"2025/01/05 16:29:53","預ける","小麦粉",150,"エルド",1500
34,"2025/01/05 16:29:57","預ける","黒糖",150,"エルド",3000
35,"2025/01/05 16:30:01","預ける","クリーム",150,"エルド",3600
36,"2025/01/05 16:57:18","預ける","トマト",100,"iamy",12000
37,"2025/01/05 16:57:25","取り出す","小麦",400,"iamy",-400
38,"2025/01/05 16:57:36","取り出す","テンサイ",300,"iamy",-3000
39,"2025/01/05 16:57:43","取り出す","コメ",200,"iamy",-1000
40,"2025/01/05 16:57:57","預ける","大豆",300,"iamy",45000
41,"2025/01/05 16:58:09","預ける","あんパン",816,"iamy",306000
42,"2025/01/05 16:58:17","預ける","チョコアイス",564,"iamy",467556
43,"2025/01/05 16:58:27","預ける","ベーコン",116,"iamy",9280
44,"2025/01/05 16:58:55","預ける","小麦粉",30,"iamy",300
45,"2025/01/05 16:59:03","預ける","タマゴ",300,"iamy",2700
46,"2025/01/05 17:07:27","取り出す","黒糖",200,"くまくん",-4000
47,"2025/01/05 17:09:12","預ける","クリーム",150,"ちひ",3600
48,"2025/01/05 17:09:25","預ける","あんパン",40,"ちひ",15000
49,"2025/01/05 17:09:32","預ける","チョコアイス",11,"ちひ",9119
50,"2025/01/05 17:09:42","預ける","ベーコン",120,"ちひ",9600
51,"2025/01/05 17:52:38","取り出す","カカオ豆",50,"ikanshi",-16000
52,"2025/01/05 18:10:29","取り出す","大豆",500,"エルマス",-75000
53,"2025/01/05 18:16:59","取り出す","大豆",300,"ざうるす",-45000
54,"2025/01/05 18:44:51","預ける","チョコアイス",242,"エルマス",200618
55,"2025/01/05 18:44:57","預ける","あんパン",1284,"エルマス",481500
56,"2025/01/05 18:45:04","預ける","ベーコン",46,"エルマス",3680
57,"2025/01/05 19:15:55","預ける","あんパン",709,"シンリ",265875
58,"2025/01/05 19:16:12","預ける","チョコアイス",68,"シンリ",56372
59,"2025/01/05 19:16:26","預ける","ベーコン",354,"シンリ",28320
60,"2025/01/05 19:56:13","預ける","あんパン",330,"sae",123750
61,"2025/01/05 19:56:49","預ける","チョコアイス",50,"sae",41450
62,"2025/01/05 19:57:14","預ける","ベーコン",713,"sae",57040
63,"2025/01/05 20:27:07","預ける","あんパン",3819,"くまくん",1432125
64,"2025/01/05 20:27:21","預ける","チョコアイス",553,"くまくん",458437
65,"2025/01/05 20:27:39","預ける","ベーコン",426,"くまくん",34080
66,"2025/01/05 20:45:54","預ける","あんパン",108,"ikanshi",40500
67,"2025/01/05 20:46:01","預ける","ベーコン",90,"ikanshi",7200
68,"2025/01/05 20:46:17","預ける","チョコアイス",664,"ikanshi",550456
69,"2025/01/05 20:50:39","預ける","あんパン",41,"シンリ",15375
70,"2025/01/05 20:50:50","預ける","チョコアイス",5,"シンリ",4145
71,"2025/01/05 20:51:01","預ける","ベーコン",24,"シンリ",1920
72,"2025/01/05 20:51:24","預ける","チョコアイス",14,"エルマス",11606
73,"2025/01/05 20:51:31","預ける","あんパン",59,"エルマス",22125
74,"2025/01/05 20:53:27","預ける","あんパン",12,"くまくん",4500
75,"2025/01/05 20:53:36","預ける","ベーコン",2,"くまくん",160
76,"2025/01/05 20:53:56","預ける","あんパン",78,"ne5",29250
77,"2025/01/05 20:54:10","預ける","ベーコン",124,"ne5",9920
78,"2025/01/05 20:54:32","預ける","チョコアイス",50,"ne5",41450
79,"2025/01/05 20:57:13","預ける","ベーコン",197,"エルド",15760
80,"2025/01/05 20:57:28","預ける","あんパン",1409,"マオマオ",528375
81,"2025/01/05 20:57:38","預ける","チョコアイス",442,"マオマオ",366418
82,"2025/01/05 20:57:54","預ける","ベーコン",1488,"マオマオ",119040
83,"2025/01/05 20:58:01","預ける","チョコアイス",208,"エルド",172432
84,"2025/01/05 20:58:10","預ける","あんパン",784,"エルド",294000
85,"2025/01/05 20:58:58","預ける","ベーコン",10,"ne5",800
