No,日時,操作,アイテム,数量,操作者,同盟ポイント
1,"2024/12/31 08:41:51","預ける","リンゴ",6500,"エルド",780000
2,"2024/12/31 08:41:59","預ける","ココナッツ",6000,"エルド",2040000
3,"2024/12/31 08:42:04","預ける","グアバ",5000,"エルド",2100000
4,"2024/12/31 08:42:10","預ける","トマト",1,"エルド",120
5,"2024/12/31 08:42:16","預ける","トマト",12000,"エルド",1440000
6,"2024/12/31 09:11:11","取り出す","ココナッツケーキ",20,"iamy",-30300
7,"2024/12/31 09:11:27","取り出す","チョコレートケーキ",100,"iamy",-86800
8,"2024/12/31 09:24:23","取り出す","計画図A",5,"ちちち",-100
9,"2024/12/31 09:24:41","取り出す","ミルク",100,"ちちち",-400
10,"2024/12/31 09:25:04","取り出す","シリアル",50,"ちちち",-2100
11,"2024/12/31 09:25:29","預ける","キャラメル",50,"ちちち",5000
12,"2024/12/31 09:25:46","預ける","シロップ",100,"ちちち",14000
13,"2024/12/31 11:01:51","預ける","クリーム",10,"エルド",240
14,"2024/12/31 11:02:02","取り出す","クリーム",10,"エルド",-240
15,"2024/12/31 12:11:58","預ける","黒糖",10,"iamy",200
16,"2024/12/31 12:12:22","取り出す","黒糖",10,"iamy",-200
17,"2024/12/31 13:31:55","取り出す","黒糖",200,"ちひ",-4000
18,"2024/12/31 13:32:06","取り出す","小麦粉",100,"ちひ",-1000
19,"2024/12/31 13:32:17","取り出す","大豆",200,"ちひ",-30000
20,"2024/12/31 13:32:26","預ける","コショウ",150,"ちひ",9000
21,"2024/12/31 13:32:40","預ける","タマネギ",600,"ちひ",9000
22,"2024/12/31 13:32:48","預ける","トマト",100,"ちひ",12000
23,"2024/12/31 13:33:02","預ける","コメ",1000,"ちひ",5000
24,"2024/12/31 13:33:14","預ける","ゴマ",200,"ちひ",60000
25,"2024/12/31 13:33:26","取り出す","小麦",200,"ちひ",-200
26,"2024/12/31 14:31:07","取り出す","大豆",500,"iamy",-75000
27,"2024/12/31 14:31:16","預ける","ラズベリー",200,"iamy",84000
28,"2024/12/31 15:42:22","預ける","マンゴー",50,"ちちち",20000
29,"2024/12/31 15:42:28","預ける","洋ナシ",100,"ちちち",20000
30,"2024/12/31 15:42:47","取り出す","小麦粉",100,"ちちち",-1000
31,"2024/12/31 16:38:11","預ける","タマゴ",1000,"エルド",9000
32,"2024/12/31 16:38:17","預ける","小麦粉",200,"エルド",2000
33,"2024/12/31 16:38:21","預ける","黒糖",150,"エルド",3000
34,"2024/12/31 16:38:55","預ける","レッドフライ",1000,"エルド",46000
35,"2024/12/31 16:39:55","預ける","ブタ肉",650,"エルド",20800
36,"2024/12/31 17:23:42","預ける","チーズ",1000,"くまくん",12000
37,"2024/12/31 17:23:53","預ける","米粉",1200,"くまくん",30000
38,"2024/12/31 17:24:03","取り出す","小麦粉",200,"くまくん",-2000
39,"2024/12/31 17:24:09","取り出す","黒糖",300,"くまくん",-6000
40,"2024/12/31 17:24:23","取り出す","大豆",593,"くまくん",-88950
41,"2024/12/31 18:07:19","預ける","ブルーフライ",80,"iamy",1840
42,"2024/12/31 18:08:18","預ける","ヨーグルト",50,"iamy",3100
43,"2024/12/31 18:09:04","取り出す","ピンクドリンク",5,"iamy",-4075
44,"2024/12/31 18:40:04","取り出す","小麦粉",300,"エルマス",-3000
45,"2024/12/31 18:40:21","預ける","サツマイモ",1900,"エルマス",456000
46,"2024/12/31 18:40:26","預ける","チェリー",500,"エルマス",180000
47,"2024/12/31 18:40:31","預ける","グアバ",500,"エルマス",210000
48,"2024/12/31 18:40:39","預ける","ニンジン",500,"エルマス",180000
49,"2024/12/31 18:40:43","預ける","ラズベリー",200,"エルマス",84000
50,"2024/12/31 18:41:18","取り出す","大豆",400,"エルマス",-60000
51,"2024/12/31 18:41:25","取り出す","黒糖",400,"エルマス",-8000
52,"2024/12/31 19:19:34","取り出す","テンサイ",300,"ikanshi",-3000
53,"2024/12/31 19:19:39","取り出す","小麦",300,"ikanshi",-300
54,"2024/12/31 19:20:07","取り出す","キャベツジュース",20,"ikanshi",-15700
55,"2024/12/31 19:20:14","取り出す","醤油",24,"ikanshi",-1920
56,"2024/12/31 19:24:15","取り出す","バニラアイス",20,"ikanshi",-3080
57,"2024/12/31 19:24:35","取り出す","ピンクドリンク",10,"ikanshi",-8150
58,"2024/12/31 20:09:15","取り出す","大豆",300,"ざうるす",-45000
59,"2024/12/31 22:11:50","取り出す","大豆",300,"ちひ",-45000
60,"2024/12/31 22:11:59","預ける","コショウ",100,"ちひ",6000
61,"2024/12/31 22:12:20","取り出す","テンサイ",200,"ちひ",-2000
